hpi	virus	temperature	donor	replicate	titer
48	mock	33	1	1	1
48	mock	33	2	1	1
48	mock	33	3	1	1
48	mock	33	1	2	1
48	mock	33	2	2	1
48	mock	33	3	2	1
48	SARS	33	1	1	1
48	SARS	33	2	1	1
48	SARS	33	3	1	1
48	SARS	33	1	2	1
48	SARS	33	2	2	1
48	SARS	33	3	2	1
48	SARS-2	33	1	1	1
48	SARS-2	33	2	1	1
48	SARS-2	33	3	1	1
48	SARS-2	33	1	2	1
48	SARS-2	33	2	2	1
48	SARS-2	33	3	2	1
48	mock	37	1	1	1
48	mock	37	2	1	1
48	mock	37	3	1	1
48	mock	37	1	2	1
48	mock	37	2	2	1
48	mock	37	3	2	1
48	SARS	37	1	1	120
48	SARS	37	2	1	1
48	SARS	37	3	1	1
48	SARS	37	1	2	240
48	SARS	37	2	2	1
48	SARS	37	3	2	1
48	SARS-2	37	1	1	1
48	SARS-2	37	2	1	1
48	SARS-2	37	3	1	1
48	SARS-2	37	1	2	1
48	SARS-2	37	2	2	1
48	SARS-2	37	3	2	1
72	mock	33	1	1	1
72	mock	33	2	1	1
72	mock	33	3	1	1
72	mock	33	1	2	1
72	mock	33	2	2	1
72	mock	33	3	2	1
72	SARS	33	1	1	1
72	SARS	33	2	1	1
72	SARS	33	3	1	1
72	SARS	33	1	2	160
72	SARS	33	2	2	1
72	SARS	33	3	2	1
72	SARS-2	33	1	1	80
72	SARS-2	33	2	1	1
72	SARS-2	33	3	1	120
72	SARS-2	33	1	2	200
72	SARS-2	33	2	2	1
72	SARS-2	33	3	2	320
72	mock	37	1	1	1
72	mock	37	2	1	1
72	mock	37	3	1	1
72	mock	37	1	2	1
72	mock	37	2	2	1
72	mock	37	3	2	1
72	SARS	37	1	1	360
72	SARS	37	2	1	1
72	SARS	37	3	1	1
72	SARS	37	1	2	280
72	SARS	37	2	2	1
72	SARS	37	3	2	1
72	SARS-2	37	1	1	1
72	SARS-2	37	2	1	1
72	SARS-2	37	3	1	40
72	SARS-2	37	1	2	40
72	SARS-2	37	2	2	80
72	SARS-2	37	3	2	1
96	mock	33	1	1	1
96	mock	33	2	1	1
96	mock	33	3	1	1
96	mock	33	1	2	1
96	mock	33	2	2	1
96	mock	33	3	2	1
96	SARS	33	1	1	1
96	SARS	33	2	1	1
96	SARS	33	3	1	1
96	SARS	33	1	2	440
96	SARS	33	2	2	1
96	SARS	33	3	2	1
96	SARS-2	33	1	1	120
96	SARS-2	33	2	1	1
96	SARS-2	33	3	1	1
96	SARS-2	33	1	2	640
96	SARS-2	33	2	2	1
96	SARS-2	33	3	2	160
96	mock	37	1	1	1
96	mock	37	2	1	1
96	mock	37	3	1	80
96	mock	37	1	2	1
96	mock	37	2	2	1
96	mock	37	3	2	1
96	SARS	37	1	1	360
96	SARS	37	2	1	40
96	SARS	37	3	1	40
96	SARS	37	1	2	480
96	SARS	37	2	2	40
96	SARS	37	3	2	1
96	SARS-2	37	1	1	1
96	SARS-2	37	2	1	1
96	SARS-2	37	3	1	1
96	SARS-2	37	1	2	1
96	SARS-2	37	2	2	1
96	SARS-2	37	3	2	1
