hpi	temperature	virus	donor	replicate	titer
0	33	mock	0	1	1
0	33	SARS	0	1	80000
0	33	SARS-2	0	1	40000
0	33	mock	0	2	1
0	33	SARS	0	2	200000
0	33	SARS-2	0	2	68000
0	37	mock	0	1	1
0	37	SARS	0	1	80000
0	37	SARS-2	0	1	40000
0	37	mock	0	2	1
0	37	SARS	0	2	200000
0	37	SARS-2	0	2	68000
1	33	mock	1	1	1
1	33	mock	1	2	1
1	33	SARS	1	1	1
1	33	SARS	1	2	80
1	33	SARS-2	1	1	1
1	33	SARS-2	1	2	80
1	37	mock	1	1	40
1	37	mock	1	2	1
1	37	SARS	1	1	800
1	37	SARS	1	2	1200
1	37	SARS-2	1	1	400
1	37	SARS-2	1	2	200
24	33	mock	1	1	1
24	33	mock	1	2	1
24	33	SARS	1	1	1
24	33	SARS	1	2	880
24	33	SARS-2	1	1	200
24	33	SARS-2	1	2	200
24	37	mock	1	1	1
24	37	mock	1	2	1
24	37	SARS	1	1	240
24	37	SARS	1	2	40
24	37	SARS-2	1	1	160
24	37	SARS-2	1	2	400
48	33	mock	1	1	1
48	33	mock	1	2	1
48	33	SARS	1	1	40
48	33	SARS	1	2	120
48	33	SARS-2	1	1	800
48	33	SARS-2	1	2	3600
48	37	mock	1	1	1
48	37	mock	1	2	1
48	37	SARS	1	1	1200
48	37	SARS	1	2	8000
48	37	SARS-2	1	1	4400
48	37	SARS-2	1	2	4000
72	33	mock	1	1	1
72	33	mock	1	2	1
72	33	SARS	1	1	120
72	33	SARS	1	2	800
72	33	SARS-2	1	1	8000
72	33	SARS-2	1	2	120000
72	37	mock	1	1	1
72	37	mock	1	2	1
72	37	SARS	1	1	4000
72	37	SARS	1	2	28000
72	37	SARS-2	1	1	4000
72	37	SARS-2	1	2	4000
96	33	mock	1	1	1
96	33	mock	1	2	1
96	33	SARS	1	1	80
96	33	SARS	1	2	24000
96	33	SARS-2	1	1	120000
96	33	SARS-2	1	2	160000
96	37	mock	1	1	1
96	37	mock	1	2	1
96	37	SARS	1	1	20000
96	37	SARS	1	2	40000
96	37	SARS-2	1	1	800
96	37	SARS-2	1	2	1200
1	33	mock	2	1	1
1	33	mock	2	2	1
1	33	SARS	2	1	40
1	33	SARS	2	2	80
1	33	SARS-2	2	1	160
1	33	SARS-2	2	2	1
1	37	mock	2	1	40
1	37	mock	2	2	1
1	37	SARS	2	1	800
1	37	SARS	2	2	1200
1	37	SARS-2	2	1	280
1	37	SARS-2	2	2	400
24	33	mock	2	1	1
24	33	mock	2	2	1
24	33	SARS	2	1	1
24	33	SARS	2	2	160
24	33	SARS-2	2	1	40
24	33	SARS-2	2	2	1
24	37	mock	2	1	1
24	37	mock	2	2	80
24	37	SARS	2	1	1
24	37	SARS	2	2	160
24	37	SARS-2	2	1	1
24	37	SARS-2	2	2	80
48	33	mock	2	1	1
48	33	mock	2	2	1
48	33	SARS	2	1	80
48	33	SARS	2	2	1200
48	33	SARS-2	2	1	400
48	33	SARS-2	2	2	400
48	37	mock	2	1	1
48	37	mock	2	2	1
48	37	SARS	2	1	800
48	37	SARS	2	2	80
48	37	SARS-2	2	1	200
48	37	SARS-2	2	2	80
72	33	mock	2	1	1
72	33	mock	2	2	1
72	33	SARS	2	1	200
72	33	SARS	2	2	400
72	33	SARS-2	2	1	16000
72	33	SARS-2	2	2	8000
72	37	mock	2	1	1
72	37	mock	2	2	1
72	37	SARS	2	1	200
72	37	SARS	2	2	1600
72	37	SARS-2	2	1	160
72	37	SARS-2	2	2	1200
96	33	mock	2	1	1
96	33	mock	2	2	1
96	33	SARS	2	1	1
96	33	SARS	2	2	800
96	33	SARS-2	2	1	40000
96	33	SARS-2	2	2	80000
96	37	mock	2	1	1
96	37	mock	2	2	1
96	37	SARS	2	1	1600
96	37	SARS	2	2	8000
96	37	SARS-2	2	1	1200
96	37	SARS-2	2	2	400
1	33	mock	3	1	1
1	33	mock	3	2	1
1	33	SARS	3	1	160
1	33	SARS	3	2	80
1	33	SARS-2	3	1	360
1	33	SARS-2	3	2	1
1	37	mock	3	1	1
1	37	mock	3	2	1
1	37	SARS	3	1	400
1	37	SARS	3	2	400
1	37	SARS-2	3	1	120
1	37	SARS-2	3	2	400
24	33	mock	3	1	1
24	33	mock	3	2	1
24	33	SARS	3	1	1
24	33	SARS	3	2	1
24	33	SARS-2	3	1	400
24	33	SARS-2	3	2	400
24	37	mock	3	1	1
24	37	mock	3	2	1
24	37	SARS	3	1	80
24	37	SARS	3	2	1
24	37	SARS-2	3	1	1200
24	37	SARS-2	3	2	320
48	33	mock	3	1	1
48	33	mock	3	2	1
48	33	SARS	3	1	160
48	33	SARS	3	2	1200
48	33	SARS-2	3	1	2800
48	33	SARS-2	3	2	8000
48	37	mock	3	1	1
48	37	mock	3	2	1
48	37	SARS	3	1	1
48	37	SARS	3	2	1
48	37	SARS-2	3	1	4400
48	37	SARS-2	3	2	1200
72	33	mock	3	1	1
72	33	mock	3	2	1
72	33	SARS	3	1	280
72	33	SARS	3	2	400
72	33	SARS-2	3	1	40000
72	33	SARS-2	3	2	160000
72	37	mock	3	1	1
72	37	mock	3	2	1
72	37	SARS	3	1	40
72	37	SARS	3	2	1
72	37	SARS-2	3	1	2000
72	37	SARS-2	3	2	1200
96	33	mock	3	1	1
96	33	mock	3	2	1
96	33	SARS	3	1	1520
96	33	SARS	3	2	1200
96	33	SARS-2	3	1	12000
96	33	SARS-2	3	2	40000
96	37	mock	3	1	1
96	37	mock	3	2	1
96	37	SARS	3	1	1
96	37	SARS	3	2	400
96	37	SARS-2	3	1	440
96	37	SARS-2	3	2	800
0	37	mock	11	1	1
0	37	SARS	11	1	1000000
0	37	SARS-2	11	1	120000
0	37	mock	11	2	1
0	37	SARS	11	2	1000000
0	37	SARS-2	11	2	84000
0	33	mock	11	1	1
0	33	SARS	11	1	1000000
0	33	SARS-2	11	1	120000
0	33	mock	11	2	1
0	33	SARS	11	2	1000000
0	33	SARS-2	11	2	84000
1	37	mock	4	1	1
1	33	mock	4	1	1
1	37	mock	4	2	40
1	33	mock	4	2	1
1	37	SARS	4	1	1200
1	33	SARS	4	1	800
1	37	SARS	4	2	200
1	33	SARS	4	2	520
1	37	SARS-2	4	1	80
1	33	SARS-2	4	1	40
1	37	SARS-2	4	2	160
1	33	SARS-2	4	2	120
24	37	mock	4	1	1
24	33	mock	4	1	1
24	37	mock	4	2	1
24	33	mock	4	2	1
24	37	SARS	4	1	400
24	33	SARS	4	1	720
24	37	SARS	4	2	120
24	33	SARS	4	2	400
24	37	SARS-2	4	1	40
24	33	SARS-2	4	1	40
24	37	SARS-2	4	2	80
24	33	SARS-2	4	2	1
48	37	mock	4	1	1
48	33	mock	4	1	1
48	37	mock	4	2	1
48	33	mock	4	2	1
48	37	SARS	4	1	3200
48	33	SARS	4	1	3200
48	37	SARS	4	2	240
48	33	SARS	4	2	3200
48	37	SARS-2	4	1	4000
48	33	SARS-2	4	1	2800
48	37	SARS-2	4	2	1120
48	33	SARS-2	4	2	840
72	37	mock	4	1	1
72	33	mock	4	1	1
72	37	mock	4	2	1
72	33	mock	4	2	1
72	37	SARS	4	1	60000
72	33	SARS	4	1	16000
72	37	SARS	4	2	6000
72	33	SARS	4	2	12000
72	37	SARS-2	4	1	64000
72	33	SARS-2	4	1	72000
72	37	SARS-2	4	2	32000
72	33	SARS-2	4	2	60000
96	37	mock	4	1	1
96	33	mock	4	1	1
96	37	mock	4	2	1
96	33	mock	4	2	1
96	37	SARS	4	1	84000
96	33	SARS	4	1	80000
96	37	SARS	4	2	40000
96	33	SARS	4	2	20000
96	37	SARS-2	4	1	148000
96	33	SARS-2	4	1	228000
96	37	SARS-2	4	2	76000
96	33	SARS-2	4	2	360000
1	37	mock	5	1	1
1	33	mock	5	1	1
1	37	mock	5	2	1
1	33	mock	5	2	40
1	37	SARS	5	1	800
1	33	SARS	5	1	920
1	37	SARS	5	2	760
1	33	SARS	5	2	600
1	37	SARS-2	5	1	1
1	33	SARS-2	5	1	160
1	37	SARS-2	5	2	1
1	33	SARS-2	5	2	120
24	37	mock	5	1	1
24	33	mock	5	1	1
24	37	mock	5	2	1
24	33	mock	5	2	40
24	37	SARS	5	1	1
24	33	SARS	5	1	120
24	37	SARS	5	2	40
24	33	SARS	5	2	240
24	37	SARS-2	5	1	40
24	33	SARS-2	5	1	80
24	37	SARS-2	5	2	1
24	33	SARS-2	5	2	80
48	37	mock	5	1	1
48	33	mock	5	1	1
48	37	mock	5	2	1
48	33	mock	5	2	1
48	37	SARS	5	1	1
48	33	SARS	5	1	440
48	37	SARS	5	2	520
48	33	SARS	5	2	880
48	37	SARS-2	5	1	160
48	33	SARS-2	5	1	1200
48	37	SARS-2	5	2	240
48	33	SARS-2	5	2	640
72	37	mock	5	1	1
72	33	mock	5	1	1
72	37	mock	5	2	1
72	33	mock	5	2	1
72	37	SARS	5	1	1
72	33	SARS	5	1	560
72	37	SARS	5	2	400
72	33	SARS	5	2	600
72	37	SARS-2	5	1	2400
72	33	SARS-2	5	1	32000
72	37	SARS-2	5	2	800
72	33	SARS-2	5	2	6400
96	37	mock	5	1	1
96	33	mock	5	1	1
96	37	mock	5	2	1
96	33	mock	5	2	1
96	37	SARS	5	1	1
96	33	SARS	5	1	800
96	37	SARS	5	2	3600
96	33	SARS	5	2	400
96	37	SARS-2	5	1	3600
96	33	SARS-2	5	1	104000
96	37	SARS-2	5	2	6400
96	33	SARS-2	5	2	68000
1	37	mock	6	1	1
1	33	mock	6	1	1
1	37	mock	6	2	1
1	33	mock	6	2	1
1	37	SARS	6	1	800
1	33	SARS	6	1	800
1	37	SARS	6	2	520
1	33	SARS	6	2	3200
1	37	SARS-2	6	1	1
1	33	SARS-2	6	1	400
1	37	SARS-2	6	2	1
1	33	SARS-2	6	2	80
24	37	mock	6	1	1
24	33	mock	6	1	1
24	37	mock	6	2	1
24	33	mock	6	2	1
24	37	SARS	6	1	120
24	33	SARS	6	1	80
24	37	SARS	6	2	80
24	33	SARS	6	2	320
24	37	SARS-2	6	1	1
24	33	SARS-2	6	1	200
24	37	SARS-2	6	2	1
24	33	SARS-2	6	2	1
48	37	mock	6	1	1
48	33	mock	6	1	1
48	37	mock	6	2	1
