	donor	virus	temperature	image	Mean	Median	MeanLog	infected_mean_3std	infected_mean_3std_%
0	1	Fr	33	188.25218185508422	316.086341485692	314.4273391516136	2.497871760560605	0.005682971382179825	0.5682971382179826
1	1	Fr	37	197.0130452101175	334.945505277833	331.95847440748855	2.520108374318215	0.027185819557857	2.7185819557857
2	1	Mock	33	206.96235482579095	336.07543307969524	335.38285943131757	2.525496867804444	0.0	0.0
3	1	Mock	37	217.00308417997098	360.02150081640207	359.3614840348331	2.555729269752122	0.00027213352685050797	0.027213352685050797
4	1	Wu	33	170.08127175242217	375.5765060671621	372.9255949581413	2.570015732028456	0.07835575204590349	7.835575204590349
5	1	Wu	37	178.92805393439323	349.1158855906637	346.8173676796136	2.5388664323762287	0.04296639162809419	4.296639162809419
6	2	Fr	33	133.96744574290483	317.15794282136807	315.8487061769616	2.5006767678212323	0.00020868113522537563	0.020868113522537562
7	2	Fr	37	142.7188900747065	317.15953756670206	314.33201707577376	2.497785644528537	0.011953041622198506	1.1953041622198506
8	2	Mock	33	152.05997490589712	341.1801994981183	340.1437892095358	2.531838691676859	0.0012547051442910915	0.12547051442910914
9	2	Mock	37	161.400245465703	332.79099345424794	332.01950088640393	2.5212490751201293	0.0	0.0
10	2	Wu	33	116.22448246978581	369.93234545889663	366.53129113318175	2.5634671324158256	0.052411152327390215	5.241115232739022
11	2	Wu	37	125.38982205222018	330.8577144520224	327.3480791618161	2.516307941001956	0.014967570264427075	1.4967570264427075
12	3	Fr	33	23.42816356603426	344.2459565297484	342.672131147541	2.534366297253074	0.004973291582243507	0.4973291582243507
13	3	Fr	37	32.82428454619787	380.26245265740044	377.6813573180703	2.5753884599851116	0.050695012264922325	5.069501226492233
14	3	Mock	33	53.74270711785297	346.3392064371841	344.82516530532865	2.5384594380289425	0.00019447685725398678	0.019447685725398678
15	3	Mock	37	44.03372744243933	359.2029438705669	357.7074673304294	2.5542764642838285	6.222775357809582e-05	0.006222775357809582
16	3	Wu	33	4.985598559855986	395.74437942885015	392.340888634318	2.5926978103195735	0.09720972097209721	9.72097209720972
17	3	Wu	37	15.265385423230414	357.5167653854234	354.9552614996849	2.549225130086395	0.030560806553245116	3.0560806553245117
18	4	Fr	33	80.81490222521916	370.07539177343153	367.77680377612944	2.564757185408241	0.03405259608900876	3.4052596089008764
19	4	Fr	37	89.84851837218491	386.9800189648368	384.6150928486764	2.5845628183446268	0.04274990122481233	4.274990122481233
20	4	Mock	33	98.6513716684565	378.6975081519087	378.1453675680953	2.577406840593834	0.0005857658888997364	0.05857658888997364
21	4	Mock	37	107.36654831738191	408.749921889472	408.3803643099722	2.610448795857825	0.01018832973139858	1.018832973139858
22	4	Wu	33	62.67075733378162	399.36767008489693	396.76767252248465	2.597811599619029	0.08245776246112466	8.245776246112465
23	4	Wu	37	71.89910425478975	367.4410439163961	363.2861408310525	2.56011484692979	0.04802189599402837	4.802189599402837
