hpi	virus	temperature	donor	treatment	sample	replicate	titer
1	SARS2	33	1	T1	Apical	1	120
1	SARS2	33	1	T1	Apical	2	80
1	SARS2	37	1	T1	Apical	1	80
1	SARS2	37	1	T1	Apical	2	1
1	SARS	33	1	T1	Apical	1	800
1	SARS	33	1	T1	Apical	2	400
1	SARS	37	1	T1	Apical	1	800
1	SARS	37	1	T1	Apical	2	800
24	SARS2	33	1	T1	Apical	1	40
24	SARS2	33	1	T1	Apical	2	1
24	SARS2	37	1	T1	Apical	1	1
24	SARS2	37	1	T1	Apical	2	1
24	SARS	33	1	T1	Apical	1	1
24	SARS	33	1	T1	Apical	2	120
24	SARS	37	1	T1	Apical	1	1
24	SARS	37	1	T1	Apical	2	1
48	SARS2	33	1	T1	Apical	1	1
48	SARS2	33	1	T1	Apical	2	1
48	SARS2	37	1	T1	Apical	1	1
48	SARS2	37	1	T1	Apical	2	1
48	SARS	33	1	T1	Apical	1	1
48	SARS	33	1	T1	Apical	2	1
48	SARS	37	1	T1	Apical	1	1
48	SARS	37	1	T1	Apical	2	1
72	SARS2	33	1	T1	Apical	1	1
72	SARS2	33	1	T1	Apical	2	1
72	SARS2	37	1	T1	Apical	1	1
72	SARS2	37	1	T1	Apical	2	1
72	SARS	33	1	T1	Apical	1	1
72	SARS	33	1	T1	Apical	2	1
72	SARS	37	1	T1	Apical	1	1
72	SARS	37	1	T1	Apical	2	1
1	SARS2	33	1	T3	Apical	1	400
1	SARS2	33	1	T3	Apical	2	1
1	SARS2	37	1	T3	Apical	1	40
1	SARS2	37	1	T3	Apical	2	160
1	SARS	33	1	T3	Apical	1	400
1	SARS	33	1	T3	Apical	2	800
1	SARS	37	1	T3	Apical	1	1200
1	SARS	37	1	T3	Apical	2	800
24	SARS2	33	1	T3	Apical	1	1
24	SARS2	33	1	T3	Apical	2	1
24	SARS2	37	1	T3	Apical	1	1
24	SARS2	37	1	T3	Apical	2	1
24	SARS	33	1	T3	Apical	1	1
24	SARS	33	1	T3	Apical	2	1
24	SARS	37	1	T3	Apical	1	1
24	SARS	37	1	T3	Apical	2	1
48	SARS2	33	1	T3	Apical	1	1
48	SARS2	33	1	T3	Apical	2	1
48	SARS2	37	1	T3	Apical	1	1
48	SARS2	37	1	T3	Apical	2	1
48	SARS	33	1	T3	Apical	1	1
48	SARS	33	1	T3	Apical	2	1
48	SARS	37	1	T3	Apical	1	1
48	SARS	37	1	T3	Apical	2	1
72	SARS2	33	1	T3	Apical	1	1
72	SARS2	33	1	T3	Apical	2	1
72	SARS2	37	1	T3	Apical	1	1
72	SARS2	37	1	T3	Apical	2	1
72	SARS	33	1	T3	Apical	1	1
72	SARS	33	1	T3	Apical	2	1
72	SARS	37	1	T3	Apical	1	1
72	SARS	37	1	T3	Apical	2	1
1	SARS2	33	1	N	Apical	1	40
1	SARS2	33	1	N	Apical	2	40
1	SARS2	37	1	N	Apical	1	40
1	SARS2	37	1	N	Apical	2	80
1	SARS	33	1	N	Apical	1	120
1	SARS	33	1	N	Apical	2	80
1	SARS	37	1	N	Apical	1	800
1	SARS	37	1	N	Apical	2	1
24	SARS2	33	1	N	Apical	1	1
24	SARS2	33	1	N	Apical	2	160
24	SARS2	37	1	N	Apical	1	160
24	SARS2	37	1	N	Apical	2	1
