hpi	virus	temperature	donor	treatment	titer
0	SARS	33	0	N	2000000
0	SARS	33	0	T1	4000000
0	SARS	33	0	T3	2000000
0	SARS2	33	0	N	200000
0	SARS2	33	0	T1	200000
0	SARS2	33	0	T3	880000
0	SARS	37	0	N	2000000
0	SARS	37	0	T1	4000000
0	SARS	37	0	T3	2000000
0	SARS2	37	0	N	200000
0	SARS2	37	0	T1	200000
0	SARS2	37	0	T3	880000
1	SARS	37	3	N	2800
1	SARS	37	3	T1	7200
1	SARS	37	3	T3	3200
24	SARS	37	3	N	600
24	SARS	37	3	T1	240
24	SARS	37	3	T3	240
48	SARS	37	3	N	8000
48	SARS	37	3	T1	360
48	SARS	37	3	T3	1
72	SARS	37	3	N	72000
72	SARS	37	3	T1	1120
72	SARS	37	3	T3	1
1	SARS	33	1	N	1120
1	SARS	33	1	T1	200
1	SARS	33	1	T3	400
24	SARS	33	1	N	240
24	SARS	33	1	T1	160
24	SARS	33	1	T3	120
48	SARS	33	1	N	40
48	SARS	33	1	T1	120
48	SARS	33	1	T3	1
72	SARS	33	1	N	1080
72	SARS	33	1	T1	1
72	SARS	33	1	T3	1
1	SARS2	33	1	N	240
1	SARS2	33	1	T1	240
1	SARS2	33	1	T3	240
24	SARS2	33	1	N	120
24	SARS2	33	1	T1	1
24	SARS2	33	1	T3	1
48	SARS2	33	1	N	4400
48	SARS2	33	1	T1	1
48	SARS2	33	1	T3	240
72	SARS2	33	1	N	120000
72	SARS2	33	1	T1	1520
72	SARS2	33	1	T3	5600
1	SARS	37	1	N	1520
1	SARS	37	1	T1	3200
1	SARS	37	1	T3	2400
24	SARS	37	1	N	280
24	SARS	37	1	T1	160
24	SARS	37	1	T3	320
48	SARS	37	1	N	2800
48	SARS	37	1	T1	1
48	SARS	37	1	T3	120
72	SARS	37	1	N	13200
72	SARS	37	1	T1	1
72	SARS	37	1	T3	1
1	SARS2	37	1	N	240
1	SARS2	37	1	T1	360
1	SARS2	37	1	T3	280
24	SARS2	37	1	N	240
24	SARS2	37	1	T1	1
24	SARS2	37	1	T3	1
48	SARS2	37	1	N	5600
48	SARS2	37	1	T1	1
48	SARS2	37	1	T3	1
72	SARS2	37	1	N	20000
72	SARS2	37	1	T1	1
72	SARS2	37	1	T3	1
1	SARS	33	3	N	1120
1	SARS	33	3	T1	440
1	SARS	33	3	T3	960
24	SARS	33	3	N	80
24	SARS	33	3	T1	120
24	SARS	33	3	T3	160
48	SARS	33	3	N	40
48	SARS	33	3	T1	1
48	SARS	33	3	T3	1
72	SARS	33	3	N	400
72	SARS	33	3	T1	1
72	SARS	33	3	T3	1
1	SARS2	33	3	N	320
1	SARS2	33	3	T1	240
1	SARS2	33	3	T3	440
24	SARS2	33	3	N	1
24	SARS2	33	3	T1	1
24	SARS2	33	3	T3	1
48	SARS2	33	3	N	760
48	SARS2	33	3	T1	1
48	SARS2	33	3	T3	1
72	SARS2	33	3	N	14800
72	SARS2	33	3	T1	160
72	SARS2	33	3	T3	1
1	SARS2	37	1904	N	80
1	SARS2	37	1904	T1	320
1	SARS2	37	1904	T3	280
24	SARS2	37	1904	N	160
24	SARS2	37	1904	T1	1
24	SARS2	37	1904	T3	1
48	SARS2	37	1904	N	1320
48	SARS2	37	1904	T1	1
48	SARS2	37	1904	T3	1
72	SARS2	37	1904	N	14400
72	SARS2	37	1904	T1	1
72	SARS2	37	1904	T3	40
1	SARS	33	2	N	440
1	SARS	33	2	T1	440
1	SARS	33	2	T3	360
24	SARS	33	2	N	80
24	SARS	33	2	T1	80
24	SARS	33	2	T3	80
48	SARS	33	2	N	160
48	SARS	33	2	T1	1
48	SARS	33	2	T3	1
72	SARS	33	2	N	840
72	SARS	33	2	T1	1
72	SARS	33	2	T3	1
1	SARS2	33	2	N	120
1	SARS2	33	2	T1	320
1	SARS2	33	2	T3	320
24	SARS2	33	2	N	40
24	SARS2	33	2	T1	1
24	SARS2	33	2	T3	1
48	SARS2	33	2	N	1320
48	SARS2	33	2	T1	1
48	SARS2	33	2	T3	1
72	SARS2	33	2	N	12000
72	SARS2	33	2	T1	1
72	SARS2	33	2	T3	1
1	SARS	37	2	N	720
1	SARS	37	2	T1	840
1	SARS	37	2	T3	520
24	SARS	37	2	N	1
24	SARS	37	2	T1	1
24	SARS	37	2	T3	40
48	SARS	37	2	N	840
48	SARS	37	2	T1	1
48	SARS	37	2	T3	1
72	SARS	37	2	N	11200
72	SARS	37	2	T1	1
72	SARS	37	2	T3	1
1	SARS2	37	2	N	200
1	SARS2	37	2	T1	160
1	SARS2	37	2	T3	80
24	SARS2	37	2	N	1
24	SARS2	37	2	T1	1
24	SARS2	37	2	T3	1
48	SARS2	37	2	N	200
48	SARS2	37	2	T1	1
48	SARS2	37	2	T3	40
72	SARS2	37	2	N	1240
72	SARS2	37	2	T1	1
72	SARS2	37	2	T3	680
