nreads	medianreads	meanreads	sdreads	mediangenes	meangenes	sdgenes
0	0	0	0	0	0	0
1e+06	9331	10416.6666666667	3401.13695747595	3797.5	4031.8125	799.808349576717
2e+06	18593	20833.3333333333	6838.74712235427	5709.5	5980.66666666667	982.288955950568
3e+06	27935.5	31250	10207.8957231516	6997.5	7256.19791666667	1028.62292840366
4e+06	37144	41666.6666666667	13629.778467263	7958.5	8184.94791666667	1032.60791325746
5e+06	46672.5	52083.3333333333	17032.2737683287	8631.5	8907.94791666667	1029.07925498877
6e+06	55658	62500	20499.623375231	9265	9488.65625	1013.99820230428
7e+06	65181.5	72916.6666666667	23853.3727001431	9747	9976.61458333333	991.361502600197
8e+06	74225.5	83333.3333333333	27297.3675671894	10124.5	10370.3854166667	988.227753099261
9e+06	83688	93750	30679.5660807852	10518.5	10738.96875	974.408651473184
1e+07	93093	104166.666666667	34128.642096961	10803	11045.2916666667	960.726095109611
1.5e+07	139557	156250	51107.707180033	11969.5	12191.3541666667	919.88361940281
2e+07	186583.5	208333.333333333	68138.7598812996	12737.5	12944.8125	895.027601015157
2.5e+07	232741.5	260416.666666667	85213.2288983183	13299	13524.625	876.61927461788
3e+07	279279	312500	102252.796751148	13702	13966.8645833333	874.708849242411
3.5e+07	325313.5	364583.333333333	119336.388755366	14112	14335.8125	885.310582581943
4e+07	372224.5	416666.666666667	136460.37649004	14413.5	14649.875	887.884680160187
4.5e+07	418946.5	468750	153350.03274916	14666	14918.2604166667	891.975480484238
5e+07	465500.5	520833.333333333	170355.173533271	14916	15153.2291666667	894.967855690526
7.5e+07	698595	781250	255688.305254824	15784	16043.4791666667	919.99384413463
1e+08	931116.5	1041666.66666667	341142.39365158	16367	16637.34375	945.619817097147
1.25e+08	1162959	1302083.33333333	426203.8978364	16830	17081.7604166667	965.230081595402
1.5e+08	1396651	1562500	511191.756187359	17185	17436.71875	976.947746306402
1.75e+08	1629089.5	1822916.66666667	596720.032336027	17456	17721.5520833333	991.687120329387
2e+08	1863110	2083333.33333333	681662.505326572	17677.5	17958.4270833333	1006.13406812822
2.25e+08	2093299.5	2343750	766998.822833544	17882	18170.0729166667	1018.61554386635
2.5e+08	2326220.5	2604166.66666667	852159.08268369	18081	18353.3958333333	1022.19961465116
2.75e+08	2561056	2864583.33333333	937598.897218092	18242	18524.8541666667	1032.10615507848
3e+08	2791522	3125000	1022572.87889167	18407.5	18661.4479166667	1040.86053335226
3.25e+08	3025207	3385416.66666667	1107841.80839402	18486.5	18795.8333333333	1040.90987189262
3.5e+08	3257244.5	3645833.33333333	1193060.65914184	18614.5	18910.34375	1049.53812225464
3.75e+08	3489120	3906250	1278483.4440233	18737.5	19023.7916666667	1053.67455193884
4e+08	3721381.5	4166666.66666667	1363513.46810668	18838	19121.6458333333	1057.93017359039
4.25e+08	3956407	4427083.33333333	1448883.88681889	18901	19218.0729166667	1063.69635798738
4.5e+08	4188440	4687500	1533679.9558368	19037.5	19295.03125	1065.15674609421
4.75e+08	4422355	4947916.66666667	1619353.20712123	19112	19378.8541666667	1063.01892817892
5e+08	4653938	5208333.33333333	1704861.76898169	19178.5	19453.2291666667	1071.56939976316
5.25e+08	4887190.5	5468750	1789553.35448893	19256.5	19520.8229166667	1074.64370589847
5.5e+08	5118157	5729166.66666667	1874927.9273647	19280.5	19582.6875	1072.8809058595
5.75e+08	5350071	5989583.33333333	1960156.30053188	19363	19644.2708333333	1081.29967100188
6e+08	5586043	6250000	2045316.35254918	19403	19700.6770833333	1082.16995936081
6.25e+08	5818827	6510416.66666667	2131314.31882368	19443.5	19756.8958333333	1085.74768300022
6.5e+08	6050168.5	6770833.33333333	2215874.86416161	19510	19809.28125	1089.89130991774
