Sample	Genome	Total_Viral_Counts	Total_Reads	Frac_Total_Viral_Counts	Percent_Total_Viral_Counts	Donor	Condition	Temperature	Time	Type	Mean_Total_Viral_Counts	Mean_Frac_Total_Viral_Counts	Mean_Percent_Total_Viral_Counts
D1_Mock_33_24	SARS.CoV	14.2162265047095	5860122.4228754	0.00000242592653853364	0.000242592653853364	D1	Mock	33	24	Mock_33_24	94.7793854280619	0.000017248569477283	0.0017248569477283
D1_Mock_33_24	SARS.CoV.2	41.3562952864276	5860122.4228754	0.00000705724083937058	0.000705724083937058	D1	Mock	33	24	Mock_33_24	561.029696337739	0.000102478839548461	0.0102478839548461
D1_Mock_33_48	SARS.CoV	26.5696526684472	5984472.65374771	0.00000443976507300242	0.000443976507300242	D1	Mock	33	48	Mock_33_48	73.8851631026344	0.0000137095746311629	0.00137095746311629
D1_Mock_33_48	SARS.CoV.2	94.8916166730257	5984472.65374771	0.0000158563038321515	0.00158563038321515	D1	Mock	33	48	Mock_33_48	500.629730853537	0.0000934686111889308	0.00934686111889308
D1_Mock_33_72	SARS.CoV	19.2358896389011	5853216.44075434	0.00000328637934947474	0.000328637934947474	D1	Mock	33	72	Mock_33_72	241.593477675436	0.0000447598858709073	0.00447598858709073
D1_Mock_33_72	SARS.CoV.2	69.0228981160569	5853216.44075434	0.0000117923023716447	0.00117923023716447	D1	Mock	33	72	Mock_33_72	678.539622975458	0.000125884223532703	0.0125884223532703
D1_Mock_33_96	SARS.CoV	103.15586125652	5413009.69912455	0.0000190570250175617	0.00190570250175617	D1	Mock	33	96	Mock_33_96	132.651611686441	0.0000246697478734022	0.00246697478734022
D1_Mock_33_96	SARS.CoV.2	2755.84271678004	5413009.69912455	0.000509114682950918	0.0509114682950918	D1	Mock	33	96	Mock_33_96	8292.26124494394	0.00156234779582861	0.156234779582861
D1_SARS.CoV_33_24	SARS.CoV.2	1024.54378946783	5315831.10055326	0.000192734451130548	0.0192734451130548	D1	SARS.CoV	33	24	SARS.CoV_33_24	888.137858336892	0.000164202628433021	0.0164202628433021
D1_SARS.CoV_33_24	SARS.CoV	5434.69939480195	5315831.10055326	0.00102236118717849	0.102236118717849	D1	SARS.CoV	33	24	SARS.CoV_33_24	1573.71974175956	0.000293883157189379	0.0293883157189379
D1_SARS.CoV_33_48	SARS.CoV.2	1024.42712786461	5304979.96540619	0.000193106691174124	0.0193106691174124	D1	SARS.CoV	33	48	SARS.CoV_33_48	925.340045627742	0.000174553095597049	0.0174553095597049
D1_SARS.CoV_33_48	SARS.CoV	15689.072524627	5304979.96540619	0.00295742352034044	0.295742352034044	D1	SARS.CoV	33	48	SARS.CoV_33_48	2834.65023768259	0.000533886325086808	0.0533886325086808
